sdf,area,t,u,u__x,u__t,u__x__x,u__t__t,wave_equation,true_wave_equation,pred_wave_equation,lambda_wave_equation,Points_0,Points_1,Points_2
0.2702188,0.000997331,2.9179287,-0.20094578,0.7252513,-0.32044014,0.19878487,0.1983026,-0.00048227608,0.0,-0.00048227608,1.0,2.871374,0.0,0.0
0.26134738,0.000997331,5.2842064,-0.07713293,-0.2882452,0.35530528,0.07275366,0.07308453,0.00033087283,0.0,0.00033087283,1.0,0.26134738,0.0,0.0
0.38620007,0.000997331,4.4548206,-0.46018144,-1.1316593,0.26965338,0.46215948,0.46205875,-0.00010073185,0.0,-0.00010073185,1.0,0.38620007,0.0,0.0
0.5877203,0.000997331,5.840784,0.2631508,0.39697456,0.73704803,-0.2566508,-0.25653678,0.000114023685,0.0,0.000114023685,1.0,0.5877203,0.0,0.0
0.72912425,0.000997331,5.1826024,-0.29187888,0.32709843,0.8954387,0.289173,0.28909642,-7.659197e-05,0.0,-7.659197e-05,1.0,2.4124684,0.0,0.0
0.81755555,0.000997331,6.0114794,0.50660723,0.47762513,0.8977705,-0.50249267,-0.5023951,9.75728e-05,0.0,9.75728e-05,1.0,0.81755555,0.0,0.0
1.093932,0.000997331,5.5023303,0.005924154,-0.0031592343,1.2567167,-0.008775108,-0.008829896,-5.4788776e-05,0.0,-5.4788776e-05,1.0,2.0476606,0.0,0.0
1.2220179,0.000997331,0.0985705,1.0278118,0.37377435,0.8426206,-1.0284289,-1.0294181,-0.0009891987,0.0,-0.0009891987,1.0,1.2220179,0.0,0.0
0.31749266,0.000997331,0.9420462,0.436258,-1.3274773,-0.06894766,-0.43793178,-0.43704805,0.00088372827,0.0,0.00088372827,1.0,2.8241,0.0,0.0
1.2289919,0.000997331,2.9949298,-0.79462624,-0.28338203,-1.0699849,0.7955164,0.7955714,5.5015087e-05,0.0,5.5015087e-05,1.0,1.2289919,0.0,0.0
0.8374966,0.000997331,2.340353,0.016408922,0.01514609,-1.049902,-0.015501443,-0.015847206,-0.00034576282,0.0,-0.00034576282,1.0,0.8374966,0.0,0.0
0.23417369,0.000997331,3.1500876,-0.23415783,0.9804241,-0.23134372,0.23430237,0.23370747,-0.00059489906,0.0,-0.00059489906,1.0,2.907419,0.0,0.0
